date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 122.14 124.9 119.5 123.11 4567436 106.7317623334 109.1435820816 104.4248043134 107.5793946362 4567436 0.0 1.0 
"2015-10-02 00:00:00+00:00" 123.33 123.36 118.21 119.99 3520745 107.7716411379 107.7978565699 103.2975407355 104.8529897035 3520745 0.0 1.0 
"2015-10-05 00:00:00+00:00" 121.22 124.87 120.96 123.96 3908477 105.9278224174 109.1173666495 105.7006220063 108.3221652108 3908477 0.0 1.0 
"2015-10-06 00:00:00+00:00" 117.11 121.01 111.53 120.76 11599854 102.3363082272 105.744314393 97.4602378668 105.5258524593 11599854 0.0 1.0 
"2015-10-07 00:00:00+00:00" 118.64 119.54 115.82 118.65 3728380 103.6732952615 104.4597582228 101.2090446492 103.6820337388 3728380 0.0 1.0 
"2015-10-08 00:00:00+00:00" 116.69 117.96 113.79 117.52 4140853 101.9692921785 103.0790788018 99.4351337475 102.6945857984 4140853 0.0 1.0 
"2015-10-09 00:00:00+00:00" 116.91 118.08 115.54 116.56 3447856 102.1615386802 103.18394053 100.9643672835 101.855691973 3447856 0.0 1.0 
"2015-10-12 00:00:00+00:00" 117.68 117.98 115.76 117.59 2419353 102.834401436 103.0965557565 101.1566137851 102.7557551399 2419353 0.0 1.0 
"2015-10-13 00:00:00+00:00" 113.42 116.67 113.21 116.34 3247546 99.1118100856 101.9518152238 98.9283020613 101.6634454713 3247546 0.0 1.0 
"2015-10-14 00:00:00+00:00" 117.46 117.755 112.38 113.0 3352990 102.6421549344 102.8999400161 98.2030084414 98.744794037 3352990 0.0 1.0 
"2015-10-15 00:00:00+00:00" 121.87 121.99 117.69 118.0 4931580 106.495823445 106.6006851732 102.8431399134 103.1140327112 4931580 0.0 1.0 
"2015-10-16 00:00:00+00:00" 121.07 121.98 119.9 121.9 1986583 105.7967452571 106.5919466958 104.7743434074 106.522038877 1986583 0.0 1.0 
"2015-10-19 00:00:00+00:00" 118.96 121.26 117.37 121.0 1859322 103.9529265366 105.9627763268 102.5635086382 105.7355759157 1859322 0.0 1.0 
"2015-10-20 00:00:00+00:00" 119.89 120.07 117.6 118.47 2191985 104.76560493 104.9228975223 102.7644936172 103.5247411465 2191985 0.0 1.0 
"2015-10-21 00:00:00+00:00" 120.5 122.68 120.11 121.76 2820894 105.2986520483 107.2036401102 104.9578514317 106.3997001942 2820894 0.0 1.0 
"2015-10-22 00:00:00+00:00" 125.34 125.62 121.21 121.62 3434441 109.5280750849 109.7727524507 105.91908394 106.2773615113 3434441 0.0 1.0 
"2015-10-23 00:00:00+00:00" 129.58 129.84 124.06 127.47 3549800 113.2331894806 113.4603898917 108.4095499843 111.3893707601 3549800 0.0 1.0 
