date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 1.08 1.09 1.02 1.02 391745 12.96 13.08 12.24 12.24 32645 0.0 1.0 
"2015-10-02 00:00:00+00:00" 1.13 1.13 1.05 1.05 98718 13.56 13.56 12.6 12.6 8226 0.0 1.0 
"2015-10-05 00:00:00+00:00" 1.17 1.18 1.09 1.09 69302 14.04 14.16 13.08 13.08 5775 0.0 1.0 
"2015-10-06 00:00:00+00:00" 1.13 1.17 1.09 1.15 130744 13.56 14.04 13.08 13.8 10895 0.0 1.0 
"2015-10-07 00:00:00+00:00" 1.13 1.16 1.11 1.13 119715 13.56 13.92 13.32 13.56 9976 0.0 1.0 
"2015-10-08 00:00:00+00:00" 1.12 1.13 1.07 1.13 100061 13.44 13.56 12.84 13.56 8338 0.0 1.0 
"2015-10-09 00:00:00+00:00" 1.11 1.13 1.06 1.13 210502 13.32 13.56 12.72 13.56 17541 0.0 1.0 
"2015-10-12 00:00:00+00:00" 1.1 1.13 1.07 1.1 29134 13.2 13.56 12.84 13.2 2427 0.0 1.0 
"2015-10-13 00:00:00+00:00" 1.1 1.12 1.07 1.12 82530 13.2 13.44 12.84 13.44 6877 0.0 1.0 
"2015-10-14 00:00:00+00:00" 1.08 1.09 1.06 1.08 274023 12.96 13.08 12.72 12.96 22835 0.0 1.0 
"2015-10-15 00:00:00+00:00" 1.1 1.11 1.05 1.07 289379 13.2 13.32 12.6 12.84 24114 0.0 1.0 
"2015-10-16 00:00:00+00:00" 1.08 1.15 1.04 1.09 129370 12.96 13.8 12.48 13.08 10780 0.0 1.0 
"2015-10-19 00:00:00+00:00" 1.06 1.11 1.06 1.09 112300 12.72 13.32 12.72 13.08 9358 0.0 1.0 
"2015-10-20 00:00:00+00:00" 1.14 1.2 1.05 1.05 236709 13.68 14.4 12.6 12.6 19725 0.0 1.0 
"2015-10-21 00:00:00+00:00" 1.15 1.15 1.11 1.14 46041 13.8 13.8 13.32 13.68 3836 0.0 1.0 
"2015-10-22 00:00:00+00:00" 1.12 1.15 1.0708 1.15 134002 13.44 13.8 12.8496 13.8 11166 0.0 1.0 
"2015-10-23 00:00:00+00:00" 1.1 1.15 1.08 1.12 219609 13.2 13.8 12.96 13.44 18300 0.0 1.0 
"2015-10-26 00:00:00+00:00" 1.08 1.09 1.04 1.09 184639 12.96 13.08 12.48 13.08 15386 0.0 1.0 
"2015-10-27 00:00:00+00:00" 1.02 1.08 1.02 1.05 107531 12.24 12.96 12.24 12.6 8960 0.0 1.0 
"2015-10-28 00:00:00+00:00" 1.07 1.09 1.02 1.02 382834 12.84 13.08 12.24 12.24 31902 0.0 1.0 
"2015-10-29 00:00:00+00:00" 1.03 1.08 0.995 1.07 243467 12.36 12.96 11.94 12.84 20288 0.0 1.0 
"2015-10-30 00:00:00+00:00" 1.02 1.05 1.02 1.03 69223 12.24 12.6 12.24 12.36 5768 0.0 1.0 
"2015-11-02 00:00:00+00:00" 1.025 1.05 1.01 1.03 117141 12.3 12.6 12.12 12.36 9761 0.0 1.0 
