date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 3.25 3.35 3.21 3.26 6796451 3.1693809898 3.2669004048 3.1303732237 3.1791329313 6796451 0.0 1.0 
"2015-10-02 00:00:00+00:00" 3.51 3.52 3.205 3.22 7887967 3.4229314689 3.4326834104 3.125497253 3.1401251652 7887967 0.0 1.0 
"2015-10-05 00:00:00+00:00" 3.84 3.98 3.41 3.5 12043670 3.7447455387 3.8812727198 3.3254120539 3.4131795274 12043670 0.0 1.0 
"2015-10-06 00:00:00+00:00" 3.64 3.84 3.52 3.82 12052349 3.5497067085 3.7447455387 3.4326834104 3.7252416557 12052349 0.0 1.0 
"2015-10-07 00:00:00+00:00" 3.8 4.04 3.64 3.72 14489316 3.7057377726 3.9397843688 3.5497067085 3.6277222406 14489316 0.0 1.0 
"2015-10-08 00:00:00+00:00" 4.33 4.41 3.813 3.84 10984349 4.2225906725 4.3006062046 3.7184152966 3.7447455387 10984349 0.0 1.0 
"2015-10-09 00:00:00+00:00" 4.14 4.38 4.08 4.37 8331936 4.0373037839 4.27135038 3.9787921348 4.2615984385 8331936 0.0 1.0 
"2015-10-12 00:00:00+00:00" 3.83 4.17 3.71 4.04 8152126 3.7349935972 4.0665596084 3.6179702991 3.9397843688 8152126 0.0 1.0 
"2015-10-13 00:00:00+00:00" 3.9 3.99 3.58 3.73 4712520 3.8032571877 3.8910246613 3.4911950595 3.6374741821 4712520 0.0 1.0 
"2015-10-14 00:00:00+00:00" 3.9 3.91 3.76 3.88 5851458 3.8032571877 3.8130091292 3.6667300066 3.7837533047 5851458 0.0 1.0 
"2015-10-15 00:00:00+00:00" 4.06 4.08 3.83 3.88 6495649 3.9592882518 3.9787921348 3.7349935972 3.7837533047 6495649 0.0 1.0 
"2015-10-16 00:00:00+00:00" 3.72 4.06 3.67 4.06 8783407 3.6277222406 3.9592882518 3.578962533 3.9592882518 8783407 0.0 1.0 
"2015-10-19 00:00:00+00:00" 3.78 3.88 3.68 3.75 5087469 3.6862338896 3.7837533047 3.5887144746 3.6569780651 5087469 0.0 1.0 
"2015-10-20 00:00:00+00:00" 3.79 3.97 3.77 3.8 4472293 3.6959858311 3.8715207783 3.6764819481 3.7057377726 4472293 0.0 1.0 
