date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 55.27 55.31 54.62 55.02 925812 50.1473318904 50.1836245134 49.5575767659 49.9205029964 925812 0.0 1.0 
"2015-10-02 00:00:00+00:00" 55.63 55.67 54.68 55.33 1191999 50.4739654978 50.5102581208 49.6120157005 50.201770825 1191999 0.0 1.0 
"2015-10-05 00:00:00+00:00" 56.07 56.22 55.55 55.69 1180322 50.8731843513 51.0092816877 50.4013802517 50.5284044324 1180322 0.0 1.0 
"2015-10-06 00:00:00+00:00" 55.62 56.14 55.56 56.08 625585 50.464892342 50.9366964416 50.4104534075 50.882257507 625585 0.0 1.0 
"2015-10-07 00:00:00+00:00" 55.35 55.86 55.185 55.74 778553 50.2199171365 50.6826480803 50.0702100664 50.5737702112 778553 0.0 1.0 
"2015-10-08 00:00:00+00:00" 56.84 56.84 55.14 55.37 1143515 51.5718173449 51.5718173449 50.0293808655 50.238063448 1143515 0.0 1.0 
"2015-10-09 00:00:00+00:00" 56.87 57.117 56.51 56.82 964111 51.5990368121 51.8231437594 51.2724032047 51.5536710333 964111 0.0 1.0 
"2015-10-12 00:00:00+00:00" 57.45 57.77 56.8281 56.94 640573 52.1252798463 52.4156208306 51.5610202895 51.6625489025 640573 0.0 1.0 
"2015-10-13 00:00:00+00:00" 57.69 57.77 57.18 57.33 1022452 52.3430355845 52.4156208306 51.8803046407 52.0164019771 1022452 0.0 1.0 
"2015-10-14 00:00:00+00:00" 57.14 58.15 56.97 57.67 1206801 51.8440120177 52.7604007495 51.6897683697 52.324889273 1206801 0.0 1.0 
"2015-10-15 00:00:00+00:00" 58.21 58.21 56.03 56.28 1159809 52.8148396841 52.8148396841 50.8368917282 51.0637206222 1159809 0.0 1.0 
"2015-10-16 00:00:00+00:00" 58.38 58.63 57.925 58.25 951621 52.969083332 53.1959122261 52.5562547449 52.8511323071 951621 0.0 1.0 
"2015-10-19 00:00:00+00:00" 58.95 58.97 58.3 58.36 1093879 53.4862532104 53.5043995219 52.8964980859 52.9509370205 1093879 0.0 1.0 
"2015-10-20 00:00:00+00:00" 58.6 59.2 58.58 58.78 820002 53.1686927588 53.7130821044 53.1505464473 53.3320095625 820002 0.0 1.0 
"2015-10-21 00:00:00+00:00" 57.94 59.07 57.88 58.84 1190512 52.5698644786 53.5951310795 52.515425544 53.386448497 1190512 0.0 1.0 
"2015-10-22 00:00:00+00:00" 58.46 58.71 58.08 58.08 1043136 53.0416685781 53.2684974721 52.6968886592 52.6968886592 1043136 0.0 1.0 
"2015-10-23 00:00:00+00:00" 57.63 58.51 57.45 58.46 829858 52.28859665 53.0870343569 52.1252798463 53.0416685781 829858 0.0 1.0 
"2015-10-26 00:00:00+00:00" 58.2 58.27 57.52 57.75 492875 52.8057665283 52.8692786187 52.1887919366 52.3974745191 492875 0.0 1.0 
"2015-10-27 00:00:00+00:00" 57.93 58.29 57.78 58.09 692497 52.5607913228 52.8874249302 52.4246939864 52.705961815 692497 0.0 1.0 
"2015-10-28 00:00:00+00:00" 57.73 58.4 57.04 57.96 719080 52.3793282076 52.9872296436 51.7532804601 52.5880107901 719080 0.0 1.0 
"2015-10-29 00:00:00+00:00" 57.08 57.73 56.34 57.37 1025406 51.7895730831 52.3793282076 51.1181595568 52.0526946002 1025406 0.0 1.0 
"2015-10-30 00:00:00+00:00" 57.36 57.89 57.01 57.19 737214 52.0436214444 52.5244986997 51.7260609928 51.8893777965 737214 0.0 1.0 
"2015-11-02 00:00:00+00:00" 57.31 57.91 56.96 57.58 697507 51.9982556656 52.5426450113 51.680695214 52.2432308712 697507 0.0 1.0 
"2015-11-03 00:00:00+00:00" 57.73 57.98 56.92 57.23 1000108 52.3793282076 52.6061571016 51.6444025909 51.9256704195 1000108 0.0 1.0 
