date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 73.89 74.6 73.21 74.16 4741100 68.1218334 68.7764077905 67.4949170823 68.3707560555 4741100 0.0 1.0 
"2015-10-02 00:00:00+00:00" 74.41 74.41 72.5 72.7 5072100 68.6012399958 68.6012399958 66.8403426918 67.0247298441 5072100 0.0 1.0 
"2015-10-05 00:00:00+00:00" 77.3 77.54 75.04 75.05 6480500 71.2656343459 71.4868989286 69.1820595254 69.1912788831 6480500 0.0 1.0 
"2015-10-06 00:00:00+00:00" 76.91 77.54 76.72 77.24 3887100 70.906079399 71.4868989286 70.7263019256 71.2103182002 3887100 0.0 1.0 
"2015-10-07 00:00:00+00:00" 77.18 77.85 76.68 76.81 3439400 71.4223634253 72.0423813509 70.9596634809 71.0799654664 3439400 0.29 1.0 
"2015-10-08 00:00:00+00:00" 77.18 77.26 76.11 76.99 3298900 71.4223634253 71.4963954164 70.4321855442 71.2465374464 3298900 0.0 1.0 
"2015-10-09 00:00:00+00:00" 77.33 77.82 76.83 77.45 2651800 71.5611734087 72.0146193542 71.0984734642 71.6722213953 2651800 0.0 1.0 
"2015-10-12 00:00:00+00:00" 77.31 77.32 76.94 77.16 1895100 71.5426654109 71.5519194098 71.200359992 71.4038554275 1895100 0.0 1.0 
"2015-10-13 00:00:00+00:00" 76.6 77.22 76.56 76.85 3247400 70.8856314898 71.4593794209 70.8439884948 71.116981462 3247400 0.0 1.0 
"2015-10-14 00:00:00+00:00" 76.17 76.78 75.94 76.41 3098600 70.4877095375 71.0522034698 70.2748675631 70.7098055109 3098600 0.0 1.0 
"2015-10-15 00:00:00+00:00" 76.74 77.19 76.07 77.0 3615800 71.0151874742 71.4297666244 70.3951695486 71.2557914453 3615800 0.0 1.0 
"2015-10-16 00:00:00+00:00" 77.21 77.5 76.62 77.08 5613500 71.450125422 71.7138643903 70.9041394875 71.3298234364 5613500 0.0 1.0 
"2015-10-19 00:00:00+00:00" 77.0 77.31 76.73 76.95 4054900 71.2557914453 71.5426654109 71.0059334753 71.2095214509 4054900 0.0 1.0 
"2015-10-20 00:00:00+00:00" 76.95 77.15 76.68 77.05 3470800 71.2095214509 71.3946014286 70.9596634809 71.3020614398 3470800 0.0 1.0 
"2015-10-21 00:00:00+00:00" 76.51 77.61 76.35 77.29 5945000 70.8023454998 71.8202853775 70.6542815175 71.5241574131 5945000 0.0 1.0 
"2015-10-22 00:00:00+00:00" 72.5 73.28 71.39 73.06 23651300 67.0914919453 67.8133038586 66.0642980686 67.609715883 23651300 0.0 1.0 
"2015-10-23 00:00:00+00:00" 74.59 74.83 72.62 72.82 9341300 69.0255777131 69.2476736864 67.2006891322 67.3876199097 9341300 0.0 1.0 
"2015-10-26 00:00:00+00:00" 74.19 74.33 73.13 73.3 5228300 68.6554177575 68.784973742 67.6744938753 67.8318118564 5228300 0.0 1.0 
"2015-10-27 00:00:00+00:00" 74.01 74.21 73.73 73.79 4098900 68.4888457775 68.6739257553 68.2297338086 68.2852578019 4098900 0.0 1.0 
"2015-10-28 00:00:00+00:00" 74.45 74.45 73.81 74.35 7841000 68.8960217286 68.8960217286 68.3037657997 68.8034817397 7841000 0.0 1.0 
