date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 175.31 177.57 173.46 175.56 452500 172.2777128189 174.4986222421 170.4597117425 172.5233886401 452500 0.0 1.0 
"2015-10-02 00:00:00+00:00" 178.18 178.18 171.35 173.74 335900 175.0980712457 175.0980712457 168.386207812 170.7348686621 335900 0.0 1.0 
"2015-10-05 00:00:00+00:00" 179.84 181.3 178.19 179.0 446900 176.729358698 178.1631227902 175.1078982785 175.903887939 446900 0.0 1.0 
"2015-10-06 00:00:00+00:00" 176.36 181.98 175.08 180.52 643200 173.3095512677 178.832343727 172.0516910635 177.3975969316 643200 0.0 1.0 
"2015-10-07 00:00:00+00:00" 182.88 184.79 173.19 181.87 1368200 179.7167766832 181.5937399567 170.1943818556 178.7242463657 1368200 0.0 1.0 
"2015-10-08 00:00:00+00:00" 195.98 198.31 180.93 182.88 1207600 192.5901897111 194.8798883642 177.8005052782 179.7167766832 1207600 0.0 1.0 
"2015-10-09 00:00:00+00:00" 201.51 202.2 195.59 196.82 881400 198.0245388748 198.7026041412 192.2069354301 193.4156604701 881400 0.0 1.0 
"2015-10-12 00:00:00+00:00" 197.85 201.55 196.67 201.55 384700 194.4278448533 198.0638470062 193.2682549775 198.0638470062 384700 0.0 1.0 
"2015-10-13 00:00:00+00:00" 197.29 199.29 196.05 197.07 403100 193.8775310139 195.842937583 192.6590772113 193.6613362913 403100 0.0 1.0 
"2015-10-14 00:00:00+00:00" 195.42 198.29 195.04 197.21 583900 192.0398758717 194.8602342985 191.6664486236 193.7989147511 583900 0.0 1.0 
"2015-10-15 00:00:00+00:00" 199.59 200.01 195.0 196.45 280300 196.2654999954 196.678504204 191.7519540012 193.1778018643 280300 0.13 1.0 
"2015-10-16 00:00:00+00:00" 198.9 200.13 198.26 199.21 311300 195.5869930813 196.7965054065 194.9576533348 195.8918295209 311300 0.0 1.0 
"2015-10-19 00:00:00+00:00" 201.43 201.93 198.04 198.31 373500 198.0748517665 198.5664251091 194.7413177969 195.0068205025 373500 0.0 1.0 
"2015-10-20 00:00:00+00:00" 200.42 201.99 199.51 200.18 339500 197.0816749791 198.6260157163 196.1868325271 196.8456725742 339500 0.0 1.0 
"2015-10-21 00:00:00+00:00" 206.35 207.7 200.7 202.25 612900 202.9129010675 204.2404145952 197.3570111182 198.8811933167 612900 0.0 1.0 
"2015-10-22 00:00:00+00:00" 209.95 210.75 205.17 207.07 500300 206.4529371413 207.2396118244 201.7525559099 203.6209082822 500300 0.0 1.0 
"2015-10-23 00:00:00+00:00" 209.0 211.7 205.32 209.54 550500 205.5187609552 208.1737880106 201.900057413 206.0497663662 550500 0.0 1.0 
"2015-10-26 00:00:00+00:00" 207.8 209.98 205.41 209.53 380100 204.3387489305 206.4824374419 201.9865916281 206.0399329327 380100 0.0 1.0 
"2015-10-27 00:00:00+00:00" 209.06 209.35 205.93 207.18 434200 205.5777615564 205.862931129 202.4998968588 203.7290760512 434200 0.0 1.0 
"2015-10-28 00:00:00+00:00" 213.22 213.22 207.37 209.29 387000 209.6684699084 209.6684699084 203.9159112884 205.8039305278 387000 0.0 1.0 
"2015-10-29 00:00:00+00:00" 211.91 213.62 210.03 212.39 309600 208.3802901149 210.0598405633 206.5316046096 208.8522949247 309600 0.0 1.0 
"2015-10-30 00:00:00+00:00" 218.6 220.92 212.25 213.11 556600 214.9588571521 217.2402137331 208.7146268552 209.5603021395 556600 0.0 1.0 
"2015-11-02 00:00:00+00:00" 218.9 219.92 217.41 219.49 454000 215.2538601583 216.2568703792 213.7886785611 215.8340327371 454000 0.0 1.0 
"2015-11-03 00:00:00+00:00" 214.18 218.0 213.93 218.0 522500 210.6124795281 214.3688511398 210.3666436897 214.3688511398 522500 0.0 1.0 
"2015-11-04 00:00:00+00:00" 217.0 217.0 212.8 214.54 515500 213.385507786 213.385507786 209.2564490432 210.9664831355 515500 0.0 1.0 
"2015-11-05 00:00:00+00:00" 215.1 217.22 214.57 217.0 313300 211.5171554137 213.6018433238 210.9959834361 213.385507786 313300 0.0 1.0 
"2015-11-06 00:00:00+00:00" 210.61 214.93 209.16 214.51 638400 207.1019437549 211.3499870435 205.6760958918 210.9369828349 638400 0.0 1.0 
"2015-11-09 00:00:00+00:00" 211.83 212.64 208.0 210.0 458500 208.3016226466 209.0981307632 204.5354176013 206.502104309 458500 0.0 1.0 
"2015-11-10 00:00:00+00:00" 212.21 213.11 208.93 211.83 271700 208.675293121 209.5603021395 205.4469768903 208.3016226466 271700 0.0 1.0 
"2015-11-11 00:00:00+00:00" 212.36 213.8 210.92 212.84 226000 208.8227946241 210.2388090537 207.4067801946 209.294799434 226000 0.0 1.0 
"2015-11-12 00:00:00+00:00" 209.25 212.78 207.82 210.1 302000 205.7645967936 209.2357988327 204.3584157976 206.6004386444 302000 0.0 1.0 
"2015-11-13 00:00:00+00:00" 211.79 214.62 207.72 208.22 325300 208.2622889124 211.0451506038 204.2593931219 204.7517531392 325300 0.0 1.0 
"2015-11-16 00:00:00+00:00" 218.27 218.98 211.01 211.52 461200 214.6343538454 215.3324292923 207.4952810964 207.9967862069 461200 0.0 1.0 
"2015-11-17 00:00:00+00:00" 215.55 218.9 214.84 218.9 311500 211.9596599229 215.2538601583 211.2614861417 215.2538601583 311500 0.0 1.0 
"2015-11-18 00:00:00+00:00" 225.23 225.86 215.06 216.61 451800 221.4784235882 222.0979299011 211.4779200138 213.002003878 451800 0.0 1.0 
"2015-11-19 00:00:00+00:00" 225.4 226.13 223.0 226.13 316700 221.6455919583 222.3634326067 219.2855679091 222.3634326067 316700 0.0 1.0 
"2015-11-20 00:00:00+00:00" 226.36 227.49 224.72 225.41 212400 222.589601578 223.6968461945 220.9769184777 221.6554253919 212400 0.0 1.0 
"2015-11-23 00:00:00+00:00" 228.33 229.24 226.0 226.1 224300 224.5267879851 225.4216304371 222.2355979707 222.333932306 224300 0.0 1.0 
"2015-11-24 00:00:00+00:00" 226.16 228.98 224.47 227.0 358300 222.3929329073 225.1659611651 220.7310826393 223.2189413245 358300 0.0 1.0 
"2015-11-25 00:00:00+00:00" 229.63 230.92 225.97 227.79 196000 225.8051343451 227.0736472716 222.20609767 223.995782574 196000 0.0 1.0 
"2015-11-27 00:00:00+00:00" 231.59 231.99 229.41 230.59 134600 227.7324873187 228.1258246602 225.5887988073 226.7491439648 134600 0.0 1.0 
"2015-11-30 00:00:00+00:00" 230.88 234.43 230.23 233.29 351300 227.0343135375 230.5250841093 226.3951403574 229.4041710202 351300 0.0 1.0 
"2015-12-01 00:00:00+00:00" 233.22 233.74 231.6 232.17 217300 229.3353369855 229.8417588127 227.7423207522 228.3028264639 217300 0.0 1.0 
"2015-12-02 00:00:00+00:00" 229.74 233.63 229.67 232.52 247900 225.9133021141 229.7385077605 225.8444680793 228.6469966378 247900 0.0 1.0 
"2015-12-03 00:00:00+00:00" 225.52 231.47 223.83 230.36 345100 221.7635931608 227.6144861162 220.1017428928 226.5229749934 345100 0.0 1.0 
"2015-12-04 00:00:00+00:00" 226.72 227.48 223.57 225.67 525100 222.9436051854 223.6958628511 219.8460736208 221.9110946639 525100 0.0 1.0 
"2015-12-07 00:00:00+00:00" 227.63 228.51 224.49 226.45 246500 223.8384476374 224.7037897888 220.7507495063 222.6781024799 246500 0.0 1.0 
"2015-12-08 00:00:00+00:00" 231.0 231.74 224.0 225.46 382100 227.1523147399 227.8799888218 220.2689112629 221.7045925596 382100 0.0 1.0 
"2015-12-09 00:00:00+00:00" 230.08 233.56 229.01 230.32 488900 226.2476388544 229.6696737258 225.1954614657 226.4836412593 488900 0.0 1.0 
"2015-12-10 00:00:00+00:00" 232.06 234.28 228.39 230.26 386400 228.194658695 230.3776809406 224.5857885864 226.4246406581 386400 0.0 1.0 
"2015-12-11 00:00:00+00:00" 234.06 236.94 231.0 231.0 447500 230.1613454027 232.9933742618 227.1523147399 227.1523147399 447500 0.0 1.0 
"2015-12-14 00:00:00+00:00" 232.97 235.27 229.87 233.75 435000 229.089501147 231.3511908609 226.0411367501 229.856508963 435000 0.0 1.0 
"2015-12-15 00:00:00+00:00" 233.35 234.5 231.65 234.15 299800 229.4631716215 230.5940164784 227.7914879199 230.2498463046 299800 0.0 1.0 
"2015-12-16 00:00:00+00:00" 234.84 235.85 232.32 234.37 468800 230.9283532187 231.9215300061 228.4454112502 230.4661818424 468800 0.0 1.0 
"2015-12-17 00:00:00+00:00" 232.7 236.32 231.72 235.34 267700 228.8239984415 232.3837013824 227.8603219547 231.4200248956 267700 0.0 1.0 
"2015-12-18 00:00:00+00:00" 232.73 234.94 231.77 232.87 1257700 228.8534987421 231.0266875541 227.9134224958 228.9911668116 1257700 0.0 1.0 
"2015-12-21 00:00:00+00:00" 233.12 240.0 232.27 233.47 588800 229.2370026501 236.0023065903 228.4011607993 229.5811728239 588800 0.0 1.0 
"2015-12-22 00:00:00+00:00" 238.01 238.24 233.71 235.16 523500 234.0455516504 234.2717206218 229.8171752289 231.2430230919 523500 0.0 1.0 
"2015-12-23 00:00:00+00:00" 240.14 241.15 238.02 239.67 295200 236.1400729941 237.1332497815 234.055385084 235.6779016178 295200 0.0 1.0 
"2015-12-24 00:00:00+00:00" 240.08 241.36 239.44 240.34 126400 236.0810723929 237.3397518858 235.4517326464 236.3367416649 126400 0.0 1.0 
