date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 736.35 738.06 715.92 732.81 334367 736.35 738.06 715.92 732.81 334367 0.0 1.0 
"2015-10-02 00:00:00+00:00" 740.78 742.05 724.14 730.35 370259 740.78 742.05 724.14 730.35 370259 0.0 1.0 
"2015-10-05 00:00:00+00:00" 747.28 750.0 741.57 750.0 331504 747.28 750.0 741.57 750.0 331504 0.0 1.0 
"2015-10-06 00:00:00+00:00" 744.62 747.09 740.13 746.78 285262 744.62 747.09 740.13 746.78 285262 0.0 1.0 
"2015-10-07 00:00:00+00:00" 736.0 748.11 733.15 748.11 268464 736.0 748.11 733.15 748.11 268464 0.0 1.0 
"2015-10-08 00:00:00+00:00" 735.31 740.985 730.945 739.89 261763 735.31 740.985 730.945 739.89 261763 0.0 1.0 
"2015-10-09 00:00:00+00:00" 736.92 737.3 729.05 732.75 223140 736.92 737.3 729.05 732.75 223140 0.0 1.0 
"2015-10-12 00:00:00+00:00" 744.06 745.86 730.7 738.33 165435 744.06 745.86 730.7 738.33 165435 0.0 1.0 
"2015-10-13 00:00:00+00:00" 740.0 745.0 738.76 741.13 226527 740.0 745.0 738.76 741.13 226527 0.0 1.0 
"2015-10-14 00:00:00+00:00" 729.38 742.9299 727.71 739.03 230324 729.38 742.9299 727.71 739.03 230324 0.0 1.0 
"2015-10-15 00:00:00+00:00" 737.43 738.485 727.71 730.03 276698 737.43 738.485 727.71 730.03 276698 0.0 1.0 
"2015-10-16 00:00:00+00:00" 739.82 744.6 734.18 743.06 289072 739.82 744.6 734.18 743.06 289072 0.0 1.0 
"2015-10-19 00:00:00+00:00" 744.02 744.51 735.38 740.75 212309 744.02 744.51 735.38 740.75 212309 0.0 1.0 
"2015-10-20 00:00:00+00:00" 745.94 747.0925 740.93 746.0 198375 745.94 747.0925 740.93 746.0 198375 0.0 1.0 
"2015-10-21 00:00:00+00:00" 745.29 750.1 741.4 749.4 133326 745.29 750.1 741.4 749.4 133326 0.0 1.0 
"2015-10-22 00:00:00+00:00" 761.59 761.91 747.22 750.0 353461 761.59 761.91 747.22 750.0 353461 0.0 1.0 
"2015-10-23 00:00:00+00:00" 762.24 767.13 758.065 766.58 260694 762.24 767.13 758.065 766.58 260694 0.0 1.0 
"2015-10-26 00:00:00+00:00" 768.07 772.1 760.83 764.15 224848 768.07 772.1 760.83 764.15 224848 0.0 1.0 
"2015-10-27 00:00:00+00:00" 763.26 771.28 755.77 769.0 306888 763.26 771.28 755.77 769.0 306888 0.0 1.0 
"2015-10-28 00:00:00+00:00" 778.06 780.27 760.37 763.27 285487 778.06 780.27 760.37 763.27 285487 0.0 1.0 
"2015-10-29 00:00:00+00:00" 783.23 787.9 776.9601 779.56 309012 783.23 787.9 776.9601 779.56 309012 0.0 1.0 
"2015-10-30 00:00:00+00:00" 784.41 789.52 779.7399 786.43 280867 784.41 789.52 779.7399 786.43 280867 0.0 1.0 
"2015-11-02 00:00:00+00:00" 785.26 789.68 774.09 783.91 248929 785.26 789.68 774.09 783.91 248929 0.0 1.0 
"2015-11-03 00:00:00+00:00" 791.49 795.0 783.46 784.51 286253 791.49 795.0 783.46 784.51 286253 0.0 1.0 
"2015-11-04 00:00:00+00:00" 788.75 796.77 786.095 790.99 227072 788.75 796.77 786.095 790.99 227072 0.0 1.0 
"2015-11-05 00:00:00+00:00" 795.39 797.97 788.145 789.25 193990 795.39 797.97 788.145 789.25 193990 0.0 1.0 
"2015-11-06 00:00:00+00:00" 797.29 803.25 792.8 792.8 370240 797.29 803.25 792.8 792.8 370240 0.0 1.0 
"2015-11-09 00:00:00+00:00" 783.48 798.41 780.8 796.55 244881 783.48 798.41 780.8 796.55 244881 0.0 1.0 
"2015-11-10 00:00:00+00:00" 789.65 791.73 780.86 782.05 163884 789.65 791.73 780.86 782.05 163884 0.0 1.0 
"2015-11-11 00:00:00+00:00" 787.28 793.49 785.01 789.65 93749 787.28 793.49 785.01 789.65 93749 0.0 1.0 
"2015-11-12 00:00:00+00:00" 775.21 783.9899 774.273 777.0 315418 775.21 783.9899 774.273 777.0 315418 0.0 1.0 
"2015-11-13 00:00:00+00:00" 755.25 789.61 746.0 789.25 470433 755.25 789.61 746.0 789.25 470433 0.0 1.0 
"2015-11-16 00:00:00+00:00" 775.54 775.71 751.3 753.14 303567 775.54 775.71 751.3 753.14 303567 0.0 1.0 
"2015-11-17 00:00:00+00:00" 773.0 782.0 767.55 780.3 197295 773.0 782.0 767.55 780.3 197295 0.0 1.0 
"2015-11-18 00:00:00+00:00" 783.35 784.15 770.51 772.41 169707 783.35 784.15 770.51 772.41 169707 0.0 1.0 
"2015-11-19 00:00:00+00:00" 779.06 786.19 777.17 783.0 155810 779.06 786.19 777.17 783.0 155810 0.0 1.0 
"2015-11-20 00:00:00+00:00" 783.82 785.84 780.19 784.36 215162 783.82 785.84 780.19 784.36 215162 0.0 1.0 
"2015-11-23 00:00:00+00:00" 781.45 787.9799 776.355 783.35 143621 781.45 787.9799 776.355 783.35 143621 0.0 1.0 
"2015-11-24 00:00:00+00:00" 779.66 782.7 771.74 777.12 165659 779.66 782.7 771.74 777.12 165659 0.0 1.0 
"2015-11-25 00:00:00+00:00" 786.09 790.67 778.93 778.93 148604 786.09 790.67 778.93 778.93 148604 0.0 1.0 
"2015-11-27 00:00:00+00:00" 785.96 789.5 781.75 784.98 104417 785.96 789.5 781.75 784.98 104417 0.0 1.0 
"2015-11-30 00:00:00+00:00" 783.77 793.82 778.87 786.39 391473 783.77 793.82 778.87 786.39 391473 0.0 1.0 
"2015-12-01 00:00:00+00:00" 779.24 792.415 773.78 786.04 237043 779.24 792.415 773.78 786.04 237043 0.0 1.0 
"2015-12-02 00:00:00+00:00" 769.13 786.285 767.0 780.06 302747 769.13 786.285 767.0 780.06 302747 0.0 1.0 
"2015-12-03 00:00:00+00:00" 757.37 770.9 753.08 770.37 275887 757.37 770.9 753.08 770.37 275887 0.0 1.0 
"2015-12-04 00:00:00+00:00" 760.99 761.65 754.24 759.59 401059 760.99 761.65 754.24 759.59 401059 0.0 1.0 
"2015-12-07 00:00:00+00:00" 752.17 763.31 748.56 760.0 413928 752.17 763.31 748.56 760.0 413928 0.0 1.0 
"2015-12-08 00:00:00+00:00" 796.09 798.6 754.87 768.37 571073 796.09 798.6 754.87 768.37 571073 0.0 1.0 
"2015-12-09 00:00:00+00:00" 783.81 800.87 775.5005 794.0 522291 783.81 800.87 775.5005 794.0 522291 0.0 1.0 
"2015-12-10 00:00:00+00:00" 777.69 786.305 775.64 786.09 217774 777.69 786.305 775.64 786.09 217774 0.0 1.0 
"2015-12-11 00:00:00+00:00" 755.88 790.74 749.02 765.0 239774 755.88 790.74 749.02 765.0 239774 0.0 1.0 
"2015-12-14 00:00:00+00:00" 760.5 761.61 748.0376 755.88 224937 760.5 761.61 748.0376 755.88 224937 0.0 1.0 
"2015-12-15 00:00:00+00:00" 761.3 764.605 756.03 764.04 207420 761.3 764.605 756.03 764.04 207420 0.0 1.0 
"2015-12-16 00:00:00+00:00" 764.69 766.405 751.84 765.97 231440 764.69 766.405 751.84 765.97 231440 0.0 1.0 
"2015-12-17 00:00:00+00:00" 755.31 763.5 753.3 762.73 246098 755.31 763.5 753.3 762.73 246098 0.0 1.0 
"2015-12-18 00:00:00+00:00" 741.88 759.91 741.57 759.91 392826 741.88 759.91 741.57 759.91 392826 0.0 1.0 
"2015-12-21 00:00:00+00:00" 742.95 752.0 735.515 749.3 249729 742.95 752.0 735.515 749.3 249729 0.0 1.0 
"2015-12-22 00:00:00+00:00" 744.82 748.59 739.05 747.0 171693 744.82 748.59 739.05 747.0 171693 0.0 1.0 
"2015-12-23 00:00:00+00:00" 744.35 749.02 741.79 747.76 130437 744.35 749.02 741.79 747.76 130437 0.0 1.0 
"2015-12-24 00:00:00+00:00" 740.56 744.295 734.55 743.85 114934 740.56 744.295 734.55 743.85 114934 0.0 1.0 
"2015-12-28 00:00:00+00:00" 741.87 742.19 734.96 739.88 121513 741.87 742.19 734.96 739.88 121513 0.0 1.0 
"2015-12-29 00:00:00+00:00" 749.18 753.01 742.87 743.29 558120 749.18 753.01 742.87 743.29 558120 0.0 1.0 
